movie_length,movie_show_time,movie_name,movie_img_url,movie_director,movie_rate,movie_country,movie_language,movie_description,movie_type,movie_actors
片长：128分钟,none,侏罗纪世界2 ,https://img.alicdn.com/bao/uploaded/i3/TB1VY70niOYBuNjSsD4XXbSkFXa_.jpg_300x300.jpg,导演：胡安·安东尼奥·巴亚纳,8.5,制片国家/地区：美国,语言：英语,剧情介绍：侏罗纪世界主题公园及豪华度假村被失控的恐龙们摧毁已有四年。如今，纳布拉尔岛已经被人类遗弃，岛上幸存的恐龙们在丛林中自给自足。当岛上的休眠火山开始活跃以后，欧文（克里斯·帕拉特 饰）与克莱尔（布莱丝·达拉斯·霍华德 饰）发起了一场运动，想要保护岛上幸存的恐龙们免于灭绝。欧文一心想要找到自己依然失踪在野外的迅猛龙首领布鲁，克莱尔如今也尊重起这些生物，以保护它们为己任。两人在熔岩开始喷发时来到了危险的小岛，他们的冒险也揭开了一个可能让地球回到史前时代般混乱秩序的阴谋。,"类型：动作,冒险,科幻","主演：克里斯·帕拉特,布莱丝·达拉斯·霍华德,贾斯提斯·史密斯,拉菲·斯波,托比·琼斯"
片长：100分钟,none,猛虫过江 ,https://img.alicdn.com/bao/uploaded/i4/TB1lKZpnfiSBuNkSnhJXXbDcpXa_.jpg_300x300.jpg,导演：小沈阳,8.3,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：东北农村青年沈福（小沈阳 饰）与大雷（潘斌龙 饰）遇见南方姑娘静香（宋芸桦 饰），机缘巧合来到陌生大城市，面对从天而降的巨额遗产和随之而来的种种危机，两人接连施展令人意想不到的“独门秘籍”，引发了一连串爆笑喜剧故事。,"类型：动作,喜剧","主演：小沈阳,潘斌龙,宋芸桦,刘桦"
片长：88分钟,none,伊阿索密码 ,https://img.alicdn.com/bao/uploaded/i1/TB1c6yMhmcqBKNjSZFgXXX_kXXa_.jpg_300x300.jpg,"导演：李伟, 张楠",7.6,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：讲述了在近未来的世界，城市居民纷纷身患神秘绝症。主人公林子琪（梁静  饰）为救生命垂危的姐姐（李兰迪  饰），在姚博士（赵立新  饰）的劝说和帮助下踏上了去往北极基地寻求最后一丝希望的旅程，但她不知道的是，本应充满希望的旅途上却暗藏着一个危险的阴谋。,"类型：惊悚,悬疑","主演：梁静,赵立新,王佳佳"
片长：87分钟,none,凤凰城遗忘录 ,https://img.alicdn.com/bao/uploaded/i3/TB1L42nyH9YBuNjy0FgXXcxcXXa_.jpg_300x300.jpg,导演：Justin Barber,6.9,制片国家/地区：美国,语言：英语,剧情介绍：故事讲述了“Phoenix Lights”事件（1997年，美国亚利桑那州凤凰城夜晚目击UFO事件）发生后不久，三名青少年进入沙漠，希望找到“Phoenix Lights”的真相。但是三名少年在去找寻真相的当晚消失了，并再也没有回来过。在他们失踪二十周年时，失踪少年Josh的姐姐，回到故乡凤凰城，希望通过自己的调查能够找到三人失踪的原因。她和她男朋友一起用镜头记录下了寻找三人失踪真相的过程。随着调查的深入，当年经历过“Phoenix Lights”事件的人的记忆逐渐被拼凑，真相始终在美国军方演习和不明生物之间徘徊。最后的直接证据——一台记录了失踪少年命运远征的最后时刻的DV被找到，三位少年在生命的最后时刻，在经历了一连串的恐惧、绝望、受伤后，被靠近军事基地的不明飞行物掳走，而军方至今对此事保持沉默。有史以来第一次，这个“他们”不愿意让大众知道的真相，似乎终于在各自的心里有了答案。,"类型：科幻,悬疑,恐怖","主演：Florence Hartigan,Luke Spencer Roberts,切尔西·洛佩兹"
片长：88分钟,none,第七个小矮人 ,https://img.alicdn.com/bao/uploaded/i4/TB1n6GiuaSWBuNjSsrbXXa0mVXa_.jpg_300x300.jpg,"导演：波瑞斯·阿金诺威可, 哈莱德·西博门",8.2,制片国家/地区：德国,"语言：英语,德语",剧情介绍：乐观善良的七个小矮人原本过着简单快乐的生活，不料诅咒公主的巫婆利用小矮人进入了公主的18岁生日宴会。因为第七个小矮人波波的失误，诅咒爆发，公主和整个童话王国将陷入长达一百年的沉睡，用真爱唤醒公主的杰克也被巫婆派去的恶龙抓走了。为了救出公主，勇敢的七个小矮人踏上了一场营救杰克、智斗恶龙的惊奇冒险。一路上，他们遇到了小红帽、大灰狼、灰姑娘、穿靴子的猫、巨人、阿里巴巴、四十大盗、美男鱼和各种挑战……他们最终能否营救公主？,"类型：动画,冒险,喜剧","主演：Otto Waalkes,Mirco Nontschew,波瑞斯·阿金诺威可,拉尔夫·施密茨,古斯塔夫·彼得·沃勒,Martin Schneider,诺波特·海斯塔卡姆"
片长：102分钟,none,泄密者 ,https://img.alicdn.com/bao/uploaded/i1/TB1VbReoZyYBuNkSnfoXXcWgVXa_.jpg_300x300.jpg,导演：邱礼涛,8.0,制片国家/地区：中国香港,语言：粤语,"剧情介绍：马来西亚发生高危的变种传染病，医生大胆给自愿病人使用未经官方测试认可的新药。当地一新闻记者突然堕楼身亡，接连药业公司AMANAH的创办人兼董事长的儿子离奇自杀后，其妻急赴香港，警长李永勤（张智霖 饰）与香港警察王大伟（吴镇宇 饰）合作追查。
王大伟收到一条视频，里面自称「泄密者」的神秘组织透露了药业界的黑幕，更指控AMANAH藉着瘟疫大发灾难财。
「泄密者」邀约香港日报记者阮嘉岚（佘诗曼 饰）会面。李永勤和王大伟追踪到阮嘉岚与洩密者的见面地点⋯⋯","类型：动作,悬疑,犯罪","主演：吴镇宇,张智霖,佘诗曼,周秀娜,郑则仕,刘浩龙,张继聪,李璨琛"
片长：117分钟,none,我不是药神 ,https://img.alicdn.com/bao/uploaded/i2/TB1lUihzhGYBuNjy0FnXXX5lpXa_.jpg_300x300.jpg,导演：文牧野,0,制片国家/地区：中国大陆,语言：汉语普通话,剧情介绍：一位不速之客的意外到访，打破了神油店老板程勇的平凡人生，他从一个交不起房租的男性保健品商贩，一跃成为印度仿制药“格列宁”的独家代理商。收获巨额利润的他，生活剧烈变化，被病患们冠以“药神”的称号。但是，一场关于救赎的拉锯战也在波涛暗涌中慢慢展开......,"类型：剧情,喜剧","主演：徐峥,周一围,王传君,谭卓"
片长：93分钟,none,金蝉脱壳2 ,https://img.alicdn.com/bao/uploaded/i4/TB1TZ0tv29TBuNjy1zbXXXpepXa_.jpg_300x300.jpg,导演：史蒂芬·C·米勒,0,"制片国家/地区：美国,中国大陆",语言：英语,剧情介绍：越狱专家布雷斯林(史泰龙 饰)有三个学生:周树(黄晓明 饰)、卢克和金布罗，三人性格迥异，行事风格大相径庭。在保护表弟马雨声的一次行动中，周树和表弟被一起抓进一座名为“冥府”的超级监狱。布雷斯林为了营救爱徒，在逃出海上监狱“坟墓”之后再陷 “冥府”。这一次监狱难度更高，困难升级，对抗一触即发。师徒几人在监狱中艰难保命。监狱外，同样在追查这座地下监狱的同行德罗萨(戴夫·巴蒂斯塔 饰)与他们并肩作战。最终在狱友和团队的帮助下，三人与人工智能狱长几大反派展开殊死决战，一场大战即将开启。,"类型：动作,惊悚","主演：西尔维斯特·史泰龙,黄晓明,戴夫·巴蒂斯塔,杰米·金"
片长：94分钟,none,阿飞正传 ,https://img.alicdn.com/bao/uploaded/i2/TB1WfTviYArBKNjSZFLXXc_dVXa_.jpg_300x300.jpg,导演：王家卫,0,制片国家/地区：中国香港,"语言：粤语,汉语普通话,英语,菲律宾语,上海话",剧情介绍：1960年代的香港，因生母在阿飞旭仔长大成人过程中的缺失，他把自己优雅地比喻为“无根鸟”，对生命中遇到的每一个女人都表现得放荡不羁，售票员苏丽珍和舞女咪咪先后令他感受过温暖，可是她们也只能当当小情人。为摆脱沉重和无力感，旭仔抛下一切去南洋找寻生母。暗恋过苏丽珍且目睹过她与旭仔情感一路变化的，曾是小巡警今在跑船的超仔在菲律宾又遇到旭仔，是缘分也是宿命，他参与、见证了阿飞命运被改写的过程。,"类型：剧情,爱情,犯罪","主演：张国荣,张曼玉,刘德华,刘嘉玲"
片长：117分钟,none,生存家族 ,https://img.alicdn.com/bao/uploaded/i2/TB1xVJJo2uSBuNkHFqDXXXfhVXa_.jpg_300x300.jpg,导演：矢口史靖,8.8,制片国家/地区：日本,语言：日语,剧情介绍：住在东京的铃木一家关系看似和睦，实则非常冷漠。爸爸义之每天只知道看电视，儿子贤司整日插着耳机沉浸在自己的世界，女儿结衣则是个“低头一族”，没有人理睬妈妈光惠。 某日清晨醒来，一家人突然发现家里停电了，手机、电脑、家用电器一律罢工。而停电的现象并不只是出现在铃木家，街坊邻里都纷纷出现了同样的状况，连地铁都停驶了。起初大家只是担心不能上班上学，谁知连网络都开始停止供应了。原来是整个东京大停电，交通网络全面瘫痪，全城缺水又断粮！面对如此重大的危机，铃木一家踩上了脚踏车，决定出走东京开展求生大逃亡！,"类型：喜剧,家庭,灾难","主演：小日向文世,深津绘里,泉泽祐希,葵若菜"
